iter	RMSE
165	4.395168557
166	4.394763606
167	4.394312881
168	4.393342683
169	4.392844324
170	4.392244299
171	4.391643022
172	4.390870276
173	4.390168676
174	4.38946643
175	4.389076591
176	4.38833011
177	4.387733942
178	4.387239708
179	4.386673876
180	4.386227813
181	4.385128333
182	4.384499787
183	4.384130472
184	4.383784649
185	4.383198866
186	4.382587347
187	4.382234891
188	4.381687278
189	4.381088813
190	4.380708741
191	4.380441441
192	4.379619598
193	4.379448121
194	4.379169387
195	4.378889043
196	4.378422406
197	4.378055457
198	4.377608699
199	4.377264404
200	4.37692188
201	4.376634489
202	4.376256142
203	4.375847573
204	4.375307294
205	4.37469441
206	4.374231553
207	4.373974504
208	4.373469207
209	4.372824601
210	4.372250658
211	4.371768909
212	4.371489806
213	4.371122166
214	4.37074972
215	4.369992528
216	4.369685069
217	4.369138745
218	4.368850615
219	4.368238218
220	4.36745444
221	4.366896178
222	4.366539347
223	4.366092569
224	4.365378494
225	4.364993496
226	4.364588205
227	4.364135684
228	4.363239238
229	4.362163577
230	4.361793307
231	4.361264182
232	4.360846609
233	4.360458333
234	4.359958534
235	4.359665366
236	4.359278372
237	4.358903705
238	4.358669493
239	4.35829755
240	4.357898713
241	4.357306773
242	4.356904686
243	4.356233811
244	4.355863475
245	4.355400702
246	4.354897134
247	4.354700848
248	4.354235539
249	4.353921202
250	4.353644438
251	4.353294314
252	4.352895751
253	4.35255149
254	4.35189586
255	4.351465623
256	4.351150244
257	4.350580509
258	4.350279953
259	4.350000225
260	4.349436901
261	4.349037654
262	4.348662072
263	4.348297593
264	4.347769981
265	4.347475977
266	4.347126959
267	4.346532045
268	4.346088087
269	4.34578928
270	4.345404584
271	4.345100749
272	4.344883851
273	4.344511461
274	4.344181133
275	4.34384001
276	4.34336654
277	4.343068223
278	4.342633091
279	4.34198834
280	4.34158204
281	4.341102075
282	4.34070655
283	4.340500186
284	4.340201641
285	4.340060494
286	4.339737403
287	4.339195386
288	4.339033143
289	4.338709879
290	4.338140877
291	4.337994219
292	4.337569971
293	4.337111246
294	4.336494126
295	4.336133295
296	4.335877364
297	4.335593206
298	4.335192469
299	4.334676698
300	4.334190129
301	4.333875605
302	4.333589595
303	4.333406072
304	4.332806697
305	4.33251172
306	4.332124518
307	4.331731621
308	4.331360118
309	4.331106858
310	4.330815301
311	4.330534957
312	4.329996789
313	4.329697303
314	4.329237486
315	4.328972191
316	4.328700972
317	4.328186188
318	4.327845485
319	4.32733903
320	4.326794622
321	4.326493001
322	4.326010707
323	4.325508181
324	4.325102556
325	4.324804848
326	4.324125187
327	4.323845357
328	4.323508245
329	4.323247125
330	4.32298942
331	4.322596636
332	4.322388166
333	4.32198009
334	4.32175904
335	4.321508054
336	4.321133377
337	4.320926955
338	4.320488888
339	4.320213811
340	4.319996636
341	4.319515203
342	4.319229971
343	4.319008061
344	4.318731618
345	4.318302473
346	4.317634468
347	4.317225984
348	4.316740852
349	4.316509118
350	4.316097892
351	4.315726498
352	4.315474248
353	4.315178418
354	4.314717754
355	4.314533508
356	4.314110989
357	4.313728362
358	4.313477919
359	4.313217726
360	4.312810875
361	4.312581813
362	4.312222259
363	4.312022047
364	4.311362822
365	4.311106951
366	4.310847422
367	4.310666125
368	4.31052692
369	4.310173473
370	4.309839537
371	4.309504839
372	4.308944088
373	4.308801797
374	4.308576394
375	4.308237697
376	4.308048426
377	4.307625557
378	4.307372596
379	4.307163876
380	4.306743803
381	4.306627151
382	4.306415987
383	4.306094125
384	4.305704845
385	4.305412505
386	4.304997498
387	4.304703311
388	4.304394146
389	4.304013485
390	4.303845612
391	4.303595596
392	4.303260137
393	4.303042005
394	4.302670431
395	4.302473834
396	4.30213323
397	4.301883436
398	4.301657412
399	4.301493702
400	4.30111873
401	4.300557616
402	4.300253657
403	4.300018936
404	4.299821657
405	4.299454441
406	4.299155427
407	4.298827381
408	4.298648946
409	4.298312245
410	4.297977398
411	4.297693253
412	4.297425474
413	4.297137685
414	4.296954035
415	4.296555659
416	4.296334502
417	4.296176207
418	4.295976999
419	4.295725811
420	4.295369364
421	4.295202498
422	4.294885972
423	4.294694083
424	4.294415048
425	4.294074592
426	4.293647568
427	4.293453502
428	4.29322384
429	4.293003223
430	4.292860976
431	4.292647553
432	4.292187929
433	4.291946217
434	4.291691278
435	4.291497604
436	4.291265375
437	4.291069369
438	4.290608429
439	4.290431765
440	4.290143542
441	4.289908221
442	4.289594588
443	4.289244031
444	4.288820031
445	4.288397079
446	4.288120373
447	4.287867298
448	4.287513771
449	4.287245894
450	4.286741779
451	4.286457433
452	4.285957388
453	4.285788866
454	4.285419286
455	4.28511436
456	4.284896851
457	4.284407169
458	4.284050218
459	4.283872549
460	4.283593472
461	4.283449234
462	4.283109017
463	4.28286478
464	4.282694628
465	4.282632067
466	4.28240586
467	4.282021127
468	4.281599458
469	4.281354946
470	4.281082811
471	4.280877368
472	4.280667668
473	4.280487613
474	4.280111333
475	4.279814549
476	4.27956729
477	4.2792822
478	4.278983336
479	4.278711127
480	4.278413232
481	4.278212732
482	4.277965154
483	4.277766063
484	4.277556707
485	4.277388804
486	4.277233636
487	4.277007645
488	4.27675211
489	4.276422562
490	4.275998269
491	4.275653217
492	4.275466021
493	4.27521999
494	4.27493145
495	4.274724994
496	4.274421013
497	4.274150167
498	4.273839435
499	4.273585273
500	4.273365508
501	4.273072629
502	4.272905662
503	4.272613945
504	4.272423189
505	4.272265979
506	4.272140898
507	4.271904128
508	4.271750394
509	4.271578302
510	4.271302334
511	4.271065447
512	4.270829809
513	4.270575969
514	4.27041337
515	4.270221818
516	4.270034045
517	4.269704809
518	4.26938661
519	4.269188849
520	4.268942566
521	4.268823582
522	4.268538552
523	4.268275014
524	4.268034848
525	4.267845158
526	4.2677205
527	4.267608804
528	4.26746742
529	4.267205677
530	4.266893493
531	4.2665678
532	4.266161577
533	4.265746644
534	4.265493729
535	4.26521638
536	4.264988768
537	4.264717883
538	4.264455189
539	4.264208887
540	4.263957219
541	4.263471224
542	4.263180865
543	4.263023948
544	4.262850192
545	4.262636795
546	4.262410054
547	4.262277114
548	4.261980828
549	4.261745678
550	4.261193598
551	4.261051242
552	4.260559718
553	4.260290223
554	4.260126975
555	4.259956366
556	4.259815793
557	4.259543021
558	4.259288658
559	4.259206408
560	4.258869773
561	4.258512834
562	4.258320866
563	4.258121128
564	4.257645309
565	4.257555515
566	4.257357077
567	4.257059964
568	4.256841635
569	4.25661512
570	4.256436971
571	4.2562315
572	4.255893232
573	4.25564445
574	4.255400907
575	4.255126134
576	4.254906034
577	4.254719447
578	4.254461385
579	4.254284406
580	4.254020626
581	4.253914628
582	4.253765089
583	4.253602508
584	4.25335001
585	4.253077292
586	4.252759881
587	4.252607356
588	4.252304711
589	4.252139426
590	4.251907343
591	4.251599388
592	4.251442637
593	4.251282547
594	4.251097625
595	4.2508281
596	4.250718329
597	4.250517674
598	4.250307923
599	4.250154749
600	4.249687031
601	4.249215629
602	4.248962249
603	4.248771638
604	4.248653267
605	4.248492504
606	4.248297879
607	4.248141934
608	4.247814469
609	4.247399709
610	4.2471245
611	4.246944238
612	4.246787467
613	4.246655548
614	4.24650121
615	4.246400566
616	4.246211352
617	4.245991549
618	4.245797345
619	4.245660623
620	4.245418315
621	4.245333994
622	4.245147345
623	4.244930801
624	4.244780044
625	4.244652891
626	4.244455026
627	4.244257797
628	4.244087983
629	4.243848099
630	4.243700639
631	4.24346472
632	4.243258583
633	4.243034102
634	4.242871771
635	4.242648318
636	4.242532219
637	4.24236186
638	4.24224978
639	4.242115431
640	4.241943505
641	4.241836735
642	4.241545883
643	4.241422671
644	4.241290104
645	4.241000815
646	4.240856735
647	4.240654092
648	4.240452798
649	4.240287773
650	4.240066757
651	4.239632184
652	4.23946723
653	4.239294796
654	4.238999313
655	4.238879603
656	4.238714758
657	4.23853309
658	4.238381912
659	4.238243472
660	4.238052279
661	4.2378538
662	4.237430911
663	4.237127282
664	4.236945761
665	4.236550234
666	4.23637292
667	4.23601009
668	4.235810796
669	4.235635754
670	4.235423356
671	4.235237032
672	4.235067336
673	4.234890284
674	4.234786436
675	4.234521261
676	4.234388091
677	4.234255119
678	4.234052053
679	4.233707245
680	4.233501368
681	4.233421219
682	4.233332934
683	4.233192842
684	4.232967817
685	4.232713946
686	4.232583007
687	4.232321566
688	4.232176674
689	4.232050128
690	4.231860269
691	4.231646986
692	4.231539999
693	4.231387746
694	4.231320396
695	4.231144105
696	4.230981734
697	4.230780758
698	4.23057862
699	4.23047126
700	4.230287033
701	4.230213694
702	4.230034335
703	4.229896117
704	4.229818499
705	4.229471391
706	4.229233387
707	4.229125237
708	4.229002658
709	4.22877232
710	4.228515836
711	4.22838331
712	4.228176253
713	4.228002047
714	4.227842477
715	4.227638949
716	4.227520812
717	4.22741798
718	4.227226595
719	4.227096142
720	4.226873393
721	4.226696644
722	4.226518606
723	4.226230448
724	4.226074968
725	4.225919688
726	4.225781479
727	4.225610421
728	4.225453175
729	4.225338725
730	4.225162806
731	4.225045574
732	4.224924061
733	4.224692527
734	4.224509493
735	4.224361063
736	4.224027725
737	4.223904849
738	4.223817211
739	4.223658879
740	4.223511701
741	4.22338813
742	4.223239312
743	4.223119814
744	4.222969842
745	4.22285325
746	4.222756759
747	4.222577411
748	4.222451756
749	4.222299327
750	4.222068512
751	4.221886586
752	4.221767897
753	4.2215255
754	4.221227574
755	4.221074028
756	4.220985697
757	4.220651416
758	4.220355057
759	4.220248661
760	4.220092583
761	4.219922468
762	4.219802668
763	4.219706641
764	4.219590212
765	4.219480255
766	4.219342306
767	4.219266342
768	4.219104963
769	4.218922569
770	4.218817869
771	4.218673485
772	4.218506314
773	4.218353494
774	4.218085626
775	4.217919603
776	4.217655574
777	4.217400009
778	4.217313516
779	4.217054205
780	4.216909741
781	4.216636367
782	4.216502647
783	4.216267057
784	4.216092999
785	4.215907898
786	4.215806742
787	4.21568436
788	4.215600118
789	4.215527816
790	4.215379568
791	4.215154225
792	4.21501189
793	4.214874752
794	4.214704604
795	4.214493698
796	4.214375853
797	4.214193708
798	4.214062476
799	4.213750651
800	4.213654456
801	4.213539773
802	4.213416915
803	4.21330135
804	4.213177916
805	4.21285244
806	4.212691792
807	4.212563654
808	4.212459431
809	4.212258873
810	4.212030944
811	4.211952249
812	4.211760355
813	4.211651934
814	4.211573328
815	4.211349835
816	4.211236653
817	4.211117945
818	4.210949292
819	4.210660674
820	4.21033428
821	4.210207989
822	4.210043864
823	4.209857426
824	4.209681086
825	4.209475244
826	4.209332079
827	4.209234261
828	4.209133953
829	4.209055006
830	4.208898629
831	4.208721168
832	4.208434173
833	4.208356017
834	4.208259292
835	4.208137122
836	4.208002006
837	4.207902653
838	4.207865273
839	4.207633789
840	4.207536383
841	4.207423814
842	4.207210189
843	4.207110743
844	4.207010498
845	4.206908909
846	4.206701973
847	4.206645129
848	4.206583514
849	4.206518108
850	4.206329542
851	4.206131176
852	4.206023689
853	4.205908096
854	4.205798019
855	4.2055644
856	4.205414988
857	4.205268516
858	4.205172167
859	4.205070847
860	4.204934099
861	4.204794788
862	4.204616644
863	4.204485204
864	4.204276929
865	4.204028952
866	4.203774723
867	4.203636385
868	4.203455762
869	4.203260387
870	4.203122285
871	4.203036891
872	4.202909764
873	4.202683135
874	4.202607569
875	4.202527491
876	4.202366886
877	4.202271498
878	4.202134294
879	4.201833076
880	4.201709418
881	4.201584491
882	4.201500858
883	4.201310366
884	4.201223532
885	4.201093799
886	4.200996867
887	4.200891044
888	4.200820059
889	4.200693863
890	4.200500915
891	4.200362383
892	4.200138967
893	4.200056583
894	4.199894612
895	4.19960689
896	4.199511691
897	4.199422548
898	4.199325227
899	4.19923036
900	4.199081752
901	4.198942483
902	4.198795125
903	4.198696755
904	4.198437969
905	4.198289025
906	4.198152585
907	4.198071963
908	4.197972997
909	4.197830227
910	4.197752744
911	4.197657256
912	4.197562312
913	4.197230114
914	4.197112103
915	4.196995087
916	4.196830966
917	4.196702112
918	4.196499944
919	4.196348923
920	4.196163058
921	4.196053893
922	4.19590794
923	4.195696151
924	4.19559904
925	4.195402707
926	4.195227628
927	4.195135735
928	4.195067243
929	4.194955648
930	4.194747271
931	4.194660252
932	4.194445548
933	4.194342814
934	4.194297323
935	4.194032168
936	4.193905977
937	4.193647749
938	4.193586672
939	4.193427045
940	4.193263924
941	4.193113757
942	4.193030481
943	4.1928334
944	4.192743807
945	4.192489979
946	4.192371211
947	4.192322718
948	4.192089823
949	4.192007681
950	4.1919521
951	4.191875929
952	4.191741695
953	4.191629647
954	4.191417264
955	4.191302473
956	4.191269192
957	4.191140074
958	4.191087579
959	4.191005819
960	4.19086829
961	4.190746966
962	4.190462121
963	4.190311888
964	4.190093694
965	4.189982833
966	4.189810652
967	4.189585465
968	4.189511283
969	4.189436062
970	4.189261905
971	4.189138174
972	4.189013104
973	4.188868183
974	4.188569993
975	4.188477339
976	4.188282538
977	4.188142646
978	4.187920557
979	4.187642678
980	4.187540124
981	4.187477224
982	4.187409261
983	4.187300419
984	4.187215751
985	4.187046196
986	4.186929855
987	4.186829516
988	4.186693829
989	4.186618114
990	4.186524552
991	4.186421043
992	4.186221576
993	4.18608553
994	4.185968483
995	4.185869365
996	4.185792515
997	4.185585128
998	4.18550105
999	4.185291496
